urlKey,condition,gender,brand,primaryTitle,retailPrice,releaseDate,days_since_release,gender_men,gender_women,gender_infant,gender_preschool,gender_toddler,gender_unisex,brand_ASICS,brand_Nike,brand_Jordan,brand_New Balance,brand_adidas,averagePrice_Dead_Stock,averagePrice_Annual_Statistics,salesCount_Annual,color1,condition_New,thumbUrl,size,lastSale
adidas-nmd-xr1-triple-grey,New,men,adidas,adidas NMD XR1,150.0,2017-08-31,2427.0,True,False,False,False,False,False,False,False,False,False,True,89,89,2,Grey,True,https://images.stockx.com/images/Adidas-NMD-XR1-Triple-Grey.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1607673654,9.5,231.0
adidas-ultra-boost-web-dna-grey-vivid-red,New,men,adidas,adidas Ultra Boost Web DNA,190.0,2022-05-09,715.0,True,False,False,False,False,False,False,False,False,False,True,90,90,53,Grey One,True,https://images.stockx.com/images/adidas-Ultra-Boost-Web-DNA-Grey-Vivid-Red-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1655918683,6.5,84.0
adidas-superstar-size-city-series-tribute,New,men,adidas,adidas Superstar,94.0,2020-06-18,1405.0,True,False,False,False,False,False,False,False,False,False,True,0,0,0,White,True,https://stockx-assets.imgix.net/media/Product-Placeholder-Default-20210415.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color,8.5,121.0
nike-blazer-mid-infinite-white-kumquat,New,men,Nike,Nike Blazer Mid Infinite,110.0,2020-10-12,1289.0,True,False,False,False,False,False,False,True,False,False,False,118,118,127,White,True,https://images.stockx.com/images/Nike-Blazer-Mid-Infinite-White-Kumquat-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1609369400,12.0,111.0
adidas-ultra-boost-kinfolk,New,men,adidas,adidas Ultra Boost,220.0,2018-11-10,1991.0,True,False,False,False,False,False,False,False,False,False,True,131,131,7,Night Navy,True,https://images.stockx.com/images/adidas-Ultra-Boost-Kinfolk-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1612545033,7.5,96.0
air-jordan-4-retro-cool-grey-ps-2019,New,preschool,Jordan,Jordan 4 Retro,80.0,2019-08-01,1727.0,False,False,False,True,False,False,False,False,True,False,False,159,159,27,Cool Grey,True,https://images.stockx.com/images/Air-Jordan-4-Retro-Cool-Grey-PS-2019-Product.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1686755783,6.0,79.0
nike-kd-10-aunt-pearl-gs,New,child,Nike,Nike KD 10,130.0,2018-02-28,2246.0,False,False,False,False,False,False,False,True,False,False,False,139,139,1,Pearl Pink,True,https://images.stockx.com/images/Nike-KD-10-Aunt-Pearl-GS.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1607060998,6.5,204.0
nike-sb-blazer-low-fpar,New,men,Nike,Nike SB Blazer Low,100.0,2021-12-20,855.0,True,False,False,False,False,False,False,True,False,False,False,73,73,52,Cool Grey,True,https://images.stockx.com/images/Nike-SB-Blazer-Low-FPAR-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1642061076,8.0,93.0
lebron-9-south-beach-gs,New,child,Nike,Nike LeBron 9,135.0,2012-06-02,4343.0,False,False,False,False,False,False,False,True,False,False,False,150,150,1,Wolf Grey,True,https://images.stockx.com/images/Nike-LeBron-9-South-Beach-GS.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1617713328,7.5,300.0
adidas-nmd-r1-colour-static-rainbow,New,men,adidas,adidas NMD R1,170.0,2017-11-11,2355.0,True,False,False,False,False,False,False,False,False,False,True,201,201,10,Core White,True,https://images.stockx.com/images/Adidas-NMD-R1-Colour-Static-Rainbow-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1613582998,9.5,175.0
